,well_code,date_sampling,quarter,type_analyzing,date_analyzing,laboratory,k,ca2,fe3,fe2,al3,cl,so4,hco3,co3,no2,hardness_general,no3,hardness_temporal,ph,co2_free,co2_infiltrate,sio2,color,smell,tatse,is_drinkable,wqi,wqc
55,6,26936640.0,0,0,26939520.0,1,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,3,0,47.101600880579795,1
56,6,27155520.0,1,0,27161280.0,1,0,1,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,3,0,47.181154000662026,1
57,6,27455040.0,0,0,27459360.0,1,0,0,1,1,0.0,0,1,0,0,1,0,1,1,1,1,1,1,6,1,1,0,14.508219623368133,4
58,7,24330240.0,0,0,24341760.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,5,1,5,0,55.454678489211965,3
59,7,24544800.0,1,0,24552000.0,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.534231609294174,3
60,7,24880320.0,0,0,24890400.0,0,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,5,1,5,0,47.101600880579795,1
61,7,25068960.0,1,0,25073280.0,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,5,1,5,0,55.534231609294174,3
62,7,25368480.0,0,0,25375680.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.454678489211965,3
63,7,25594560.0,1,0,25601760.0,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.534231609294174,3
64,7,25882560.0,0,0,25886880.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.534231609294174,3
65,7,26114400.0,1,0,26118720.0,1,0,1,1,1,0.0,0,1,0,0,0,0,1,1,1,1,1,1,6,1,3,0,6.234695134818198,4
66,9,24330240.0,0,0,24341760.0,0,1,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,3,0,56.18896141615838,3
67,9,24544800.0,1,0,24552000.0,0,1,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,3,0,56.18896141615838,3
68,9,24880320.0,0,0,24890400.0,0,0,0,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,5,0,47.11678277372528,1
69,9,25068960.0,1,0,25073280.0,0,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,55.549413502439634,3
70,9,25368480.0,0,0,25375680.0,0,0,0,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,5,0,47.11678277372528,1
71,9,25594560.0,1,0,25601760.0,0,0,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,97.2352484255181,0
72,9,25882560.0,0,0,25886880.0,1,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,5,0,55.454678489211965,3
73,9,26114400.0,1,0,26118720.0,1,1,0,1,1,0.0,0,1,1,1,1,0,1,1,0,1,1,1,6,1,5,0,49.22806340896495,1
74,10,26461440.0,0,0,26468640.0,1,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,0,4,0,55.454678489211965,3
75,10,26677440.0,1,0,26681760.0,1,1,0,1,1,0.0,0,1,1,1,1,0,1,1,0,1,1,1,6,0,4,0,49.22806340896495,1
76,10,26936640.0,0,0,26939520.0,1,1,0,1,1,0.0,0,1,1,1,1,0,1,1,0,1,1,1,6,2,5,0,49.22806340896495,1
77,10,27205920.0,1,0,27207360.0,1,1,0,1,1,0.0,0,1,1,1,1,0,1,1,0,1,1,1,6,1,5,0,49.22806340896495,1
78,10,27455040.0,0,0,27459360.0,1,1,0,1,1,0.0,0,1,1,1,1,0,1,1,0,1,1,1,6,1,5,0,49.22806340896495,1
79,11,24330240.0,0,0,24341760.0,0,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,98.0547852734229,0
80,11,24544800.0,1,0,24552000.0,0,1,1,1,1,0.0,1,1,1,1,0,1,1,1,1,1,1,1,6,1,1,0,90.60278769028885,0
81,11,24880320.0,0,0,24890400.0,0,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.70170766479072,2
82,11,25068960.0,1,0,25073280.0,0,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.70170766479072,2
83,11,25368480.0,0,0,25377120.0,0,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.70170766479072,2
84,11,25594560.0,1,0,25601760.0,0,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,98.0547852734229,0
85,11,25882560.0,0,0,25886880.0,1,1,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,1,0,89.70170766479072,2
86,11,26114400.0,1,0,26118720.0,1,1,1,1,1,0.0,0,1,1,0,1,0,1,1,1,1,1,1,6,1,1,0,57.10832640757906,3
87,12,26461440.0,0,0,26468640.0,1,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,0,0,0,98.0547852734229,0
88,12,26677440.0,1,0,26681760.0,1,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,0,0,0,98.0547852734229,0
89,12,26936640.0,0,0,26939520.0,1,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,98.0547852734229,0
90,12,27205920.0,1,0,27207360.0,1,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,98.0547852734229,0
91,12,27455040.0,0,0,27459360.0,1,1,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,1,0,98.0547852734229,0
92,8,26461440.0,0,0,26468640.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,0,0,0,55.534231609294174,3
93,8,26677440.0,1,0,26681760.0,1,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,0,0,0,47.101600880579795,1
94,8,26936640.0,0,0,26939520.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,55.534231609294174,3
95,8,27205920.0,1,0,27207360.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.29961965245488,0
96,8,27455040.0,0,0,27459360.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,55.534231609294174,3
97,13,24331680.0,0,0,24341760.0,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.29961965245488,0
98,13,24549120.0,1,0,24557760.0,0,1,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,98.01872068625582,0
99,13,24880320.0,0,0,24890400.0,0,0,1,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,1,0,47.181154000662026,1
100,13,25068960.0,1,0,25073280.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.22006653237264,0
101,13,25369920.0,0,0,25377120.0,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.22006653237264,0
102,13,25596000.0,1,0,25601760.0,0,0,0,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.30672149102912,0
103,13,25884000.0,0,0,25886880.0,1,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.29961965245488,0
104,13,26115840.0,1,0,26118720.0,1,0,1,1,1,0.0,0,1,0,0,0,0,1,1,1,1,1,1,6,1,1,0,48.00008317797889,1
105,13,26462880.0,0,0,26468640.0,1,0,1,1,1,0.0,1,1,0,1,0,0,1,1,1,1,1,1,6,0,0,0,89.03319700247921,2
106,13,26678880.0,1,0,26681760.0,1,0,0,1,1,0.0,0,1,0,1,0,0,1,1,1,1,1,1,6,1,1,0,88.86698892374054,2
107,13,26938080.0,0,0,26939520.0,1,0,0,1,1,0.0,1,1,0,1,0,0,1,1,1,1,1,1,6,1,1,0,88.953643882397,2
108,13,27205920.0,1,0,27207360.0,1,0,1,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.38627461111133,0
109,13,27456480.0,0,0,27459360.0,1,0,1,1,1,0.0,1,1,0,1,1,0,1,1,1,1,1,1,6,1,1,0,97.38627461111133,0
110,14,24331680.0,0,0,24341760.0,0,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.89009303428608,0
111,14,24549120.0,1,0,24557760.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,100.0,0
112,14,24880320.0,0,0,24890400.0,0,1,1,1,1,0.0,0,1,1,1,0,1,1,1,1,1,1,1,6,1,1,0,90.51613273163238,0
113,14,25068960.0,1,0,25073280.0,0,1,1,1,1,0.0,0,1,1,1,0,1,1,1,1,1,1,1,6,1,1,0,90.51613273163238,0
114,14,25369920.0,0,0,25377120.0,0,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.86921034026453,0
115,14,25596000.0,1,0,25601760.0,0,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.89009303428608,0
116,14,25884000.0,0,0,25885440.0,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.86921034026453,0
117,14,26115840.0,1,0,26118720.0,1,1,1,1,1,0.0,0,1,1,0,0,1,1,1,1,1,1,1,6,1,1,0,49.59055655981013,1
118,14,26462880.0,0,0,26468640.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,98.95586529892097,0
119,14,26678880.0,1,0,26681760.0,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.86921034026453,0
120,14,26938080.0,0,0,26939520.0,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.86921034026453,0
121,14,27205920.0,1,0,27207360.0,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,6,1,1,0,98.86921034026453,0
